;Pavadinimas;žodžių_kiekis
76;„Kauno dienos“ studijoje – G. Duoblys: kaip apsaugoti vaikus nuo narkotikų?;11
77;„Kauno dienos“ studijoje – jėgos trikovės čempionas D. Kasulis: mus limituoja galva, ne kūnas;14
78;„Kauno dienos“ studijoje – R. Kurtinaitis: vanduo, duona ir malda nepadės laimėti;12
79;„Kauno dienos“ studijoje – J. Mačiulis: dėl pirmos krizės komandos nereikia ardyti;12
80;„Kauno dienos“ studijoje – A. Žiurauskas: tebūnie prakeikta diena, kai hobį paverčiau darbu;13
81;VERT įpareigojo „Amber Grid“ pakeisti GIPL detales su rusiškomis žymėmis;10
82;„LTG Link“ pasirašė 200 mln. eurų paskolų sutartis su NIB ir EIB traukiniams įsigyti;14
83;Maitinimo sektoriaus atstovų protestas prie Vyriausybės: prašo grąžinti lengvatinį PVM tarifą;11
84;„Orlen Lietuva“ atlygino 146 tūkst. eurų į jūrą išsiliejusios naftos sukeltą žalą;12
85;Lietuvoje startuoja Graikijos „Aegean Airlines“ – dukart per savaitę skraidins į Atėnus;12
86;„Maxima“ kviečia dirbti: apmokome, suteikiamas transportas, apgyvendinimas bei nemokamas maitinimas;10
87;Lietuvos specialistai nuskenavo Bučos ir Borodyankos teritorijas Ukrainoje: buvo apgadinti dronai;11
88;Po pranešimo apie smūgį Iranui ES vadovė paragino šalis susilaikyti nuo tolesnių veiksmų;13
89;Izraelio ministras, užsiminęs, kad už sprogimų Irane stovi Izraelis, sulaukė pasmerkimo;11
90;Prancūzijai areštavus buvusios V. Putino žmonos partnerio vilą – Kremliaus kritika;11
91;Niujorke atrinkti D. Trumpo baudžiamosios bylos prisiekusieji;7
92;Latvijos užsienio reikalų ministre patvirtinta B. Bražė;7
93;Latvijos moksleiviai turės galimybę nesimokyti rusų kaip antrosios užsienio kalbos;10
94;D. Trumpas: Europa turėtų suteikti Ukrainai daugiau pagalbos;8
95;Dominuojanti sporto šaka uostamiestyje – plaukimas;6
96;Krepšinio trileris Klaipėdoje: du pratęsimai, 226 taškai;7
97;			Marijampoliečiai dramatiškai palaužė „Olimpą“ ir išlygino bronzinės serijos rezultatą;9
98;„Rytas“ pagerbė legendą, triumfavo ir pristatė jaunąjį savo debiutantą;9
99;Visų laikų rekordą pagerinęs A. Ebo nukalė triuškinančią pergalę prieš Jonavos ekipą;12
100;Oficialu: „Žalgiris“ sukirto rankomis su D. Riversu;7
101;Iki motociklų sezono pradžios liko labai nedaug: kas laukia šiemet?;10
102;Ne kartą baustas panevėžietis už kontrabandą vėl pakliuvo į pasieniečių akiratį;11
103;Tris pėsčiąsias sužalojusiam neblaiviam pavežėjui siūloma užsegti apykoję;8
104;Pateikė daugiau detalių: L. Volkovo užpuolimu Vilniuje įtariami du Lenkijos piliečiai;11
105;Vilniuje sustabdytame automobilyje – įtartini radiniai, vairuotojas uždarytas į areštinę;10
106;Vilniuje ir Vilniaus rajone galimai smurtauta prieš mažamečius;8
107;Vilniuje iš moters išvilioti 6 tūkst. eurų;7
108;Alytuje išgertuvių metu vyras, įtariama, išžagino moterį;7
109;Venecijos šiuolaikinio meno bienalėje atidaromas Lietuvos paviljonas;7
110;Už viso gyvenimo nuopelnus Lietuvos kultūros paveldui apdovanoti J. Glemža, R. Jaloveckas;12
111;Princas Williamas pirmą kartą po Kate vėžio diagnozės grįžo prie viešųjų pareigų;12
112;EŽTT nepriėmė F. Kirkorovo skundo dėl draudimo atvykti į Lietuvą;10
113;Spektaklyje „Atžalynas“ – vertybių priminimas;5
114;P. Gražulis apie romantiškų santykių atnaujinimą su dukters mama Birute: gal yra tas noras;14
115;Mažosios Lietuvos saugomų teritorijų direkcijos lankytojų centrui – ypatinga dovana;10
116;Dienos horoskopas 12 Zodiako ženklų (balandžio 19 d.);8
117;Pensininkas per parą aplankė 120 barų ir tapo pasaulio rekordininku;10
118;Sunkiai įsivaizduojamo statumo gatvė negąsdina vairuotojų: avarijų daug, bet sutrumpėja kelias;11
119;Atšilus orams viešose vietose lesinti paukščius draudžiama;7
120;Dienos horoskopas 12 Zodiako ženklų (balandžio 18 d.);8
121;Nusikaltėlis apsiginklavo gyvate ir pabandė apiplėšti parduotuvę;7
122;Įspėjamieji pranešimai telefone: kodėl gauna ne visi?;7
